"caseid","teamweight","birthyr","educ","race","CC21_330a","pid3","pid7","gender4","BGU_Trumpapproval","CC21_315a","treatment_group","BGU_conf1","BGU_conf2","BGU_conf3","BGU_conf4","BGU_conf5","BGU_conf6","BGU_knowledge1","BGU_knowledge2","BGU_knowledge3","BGU_knowledge4","BGU_knowledge5","BGU_knowledge6","BGU_discussion1","BGU_discussion2","BGU_discussion3","BGU_discussion4","BGU_discussion5","BGU_discussion6","BGU_discussion7","BGU_discussion8","BGU_discussion9","ideo5","newsint","faminc_new","knowledge","inverted_BGU_discussion1","inverted_BGU_discussion2","inverted_BGU_discussion3","inverted_BGU_discussion4","inverted_BGU_discussion5","inverted_BGU_discussion6","inverted_BGU_discussion7","inverted_BGU_discussion8","inverted_BGU_discussion9","pol_dis_friend","BGU_conf1_rec","BGU_conf2_rec","BGU_conf3_rec","BGU_conf4_rec","BGU_conf5_rec","BGU_conf6_rec","SCI","policy_positions_raw","policy_opinion","policy_issue","control","libtrump","contrump","libfriend","confriend","treatment_status","age","race_white","male","trump_approve","trump_approve_num","democrat","republican","independent","party_id"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib1",1,1,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib2",1,2,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib3",1,3,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib4",1,4,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib5",1,5,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib6",1,6,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib7",1,7,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib8",1,8,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1636010971,0.596307498651055,1951,3,1,2,1,1,2,5,2,"TL",2,3,1,3,2,1,1,1,6,4,1,1,6,6,6,6,6,5,5,6,6,2,1,7,4,1,1,1,1,1,2,2,1,1,1.22,3,2,3,2,1,3,2.75,"BGU_Trumplib9",1,9,0,1,0,0,0,1,70,1,0,"Disapprove",1,1,0,0,"Democrat"
1639960087,0.748345439729792,1957,2,1,5,3,5,1,2,4,"CFC",3,4,2,3,2,3,1,1,4,4,9,1,4,3,3,2,4,4,4,4,4,4,1,3,2,3,4,4,5,3,3,3,3,3,3.44,2,3,3,2,1,2,2.5,"BGU_friendcon1",1,1,0,0,0,0,1,1,64,1,1,"Approve",3,0,0,1,"Independent/Other"
1639960087,0.748345439729792,1957,2,1,5,3,5,1,2,4,"CFC",3,4,2,3,2,3,1,1,4,4,9,1,4,3,3,2,4,4,4,4,4,4,1,3,2,3,4,4,5,3,3,3,3,3,3.44,2,3,3,2,1,2,2.5,"BGU_friendcon2",1,2,0,0,0,0,1,1,64,1,1,"Approve",3,0,0,1,"Independent/Other"
1639960087,0.748345439729792,1957,2,1,5,3,5,1,2,4,"CFC",3,4,2,3,2,3,1,1,4,4,9,1,4,3,3,2,4,4,4,4,4,4,1,3,2,3,4,4,5,3,3,3,3,3,3.44,2,3,3,2,1,2,2.5,"BGU_friendcon3",1,3,0,0,0,0,1,1,64,1,1,"Approve",3,0,0,1,"Independent/Other"
